winning_img_merchant,contactid,asin,is_index_suppressed,has_leaf_node,has_keywords,bullet_point_count,qty_website_images,has_description,idq_grade,reporting_country
39977842705,0031R000020CZ2wQAG,B09THV2GZX,0,1,0,6,8,1,B,SG
1.27532E+11,0033g00000VQKxnAAH,B09B7VTYCY,0,1,1,5,8,0,B,SG
54486680902,0033600001l4iOAAAY,B09BCHPXT4,0,1,1,5,1,0,C,SG
2.25204E+11,0033g000009OMTaAAO,B09GW75ZZ7,0,0,1,0,1,1,E,SG
1.45554E+11,0031R00002EjqWcQAJ,B08DTYMZZD,0,1,1,5,3,0,B,MY
49850403302,0033600001hgA9pAAE,B09NSM5N1R,0,1,1,3,3,1,B,SG
61090433302,0033600001pmgW6AAI,B07NVZFQM4,0,1,1,5,6,0,B,SG
4.04506E+11,0033g000011rAo9AAE,B09P69RLDD,0,1,0,5,5,1,B,SG
12944624102,0031R00001uOEcPQAW,B09PLL876D,0,1,0,5,4,1,B,SG
15814974802,0033600001BCQTxAAP,B08DFH368M,0,1,1,1,9,1,B,SG
54486680902,0033600001l4iOAAAY,B09BCG7RZR,0,1,1,5,2,0,B,SG
2.36731E+11,0033g000009msXzAAI,B08XTVTXKD,0,1,1,7,7,0,B,PH
1.60913E+11,0031R00002HBwMkQAL,B09QJRBT49,0,1,0,4,8,1,B,MY
2.73372E+11,0033g00000FA8ttAAD,B08NWBSHX8,0,1,1,5,3,1,F,SG
3.90015E+11,0033g00000xby7tAAA,B09N27DS92,0,1,1,0,3,1,B,SG
3.87201E+11,0033g00000xHrJqAAK,B09M8XQN6Z,0,0,0,0,5,0,E,PH
4.01464E+11,0033g00000zt52gAAA,B09TFNF3QW,0,1,1,0,5,1,B,SG
1.9312E+11,0033g000007w645AAA,B08FGCLRS6,0,0,1,5,7,1,B,SG
16042764505,0033g000009h10EAAQ,B09L4DK73C,0,0,1,5,6,1,B,SG
4.325E+11,0033g000015Ob9VAAS,B09TX2Q3NB,0,1,0,5,2,1,B,ID
93414565902,0031R00001zwxPcQAI,B08H8WXJ28,0,0,1,5,8,1,D,ID
2.55857E+11,0033g00000DCbaSAAT,B08NF6B4J6,1,0,1,0,7,0,F,SG
1.27713E+11,0031R00002Ak9QeQAJ,B08K2W2KZW,0,1,0,5,5,1,B,SG
53165672202,0033600001jlwZGAAY,B07FT8R5MH,0,0,1,5,7,1,B,SG
3.92294E+11,0033g00000xeOmMAAU,B09MFPMCYS,0,1,1,0,7,0,C,MY
52529719102,0033g000008YU8tAAG,B08DG137FB,0,1,1,5,3,1,F,SG
15494079115,0033g000008YZBPAA4,B094J92VY8,1,1,1,5,9,1,F,SG
4.325E+11,0033g000015Ob9VAAS,B09S4RXBJ9,0,1,0,5,2,1,B,ID
4.28277E+11,0033g000014jDdsAAE,B09R9G7N11,0,0,1,3,2,1,D,PH
53165672202,0033600001jlwZGAAY,B09NPQHZGS,1,1,1,5,7,1,F,SG
1.26161E+11,0031R00002AQIjCQAX,B07ZPG1474,0,0,1,5,6,1,B,SG
53165672202,0033600001jlwZGAAY,B09NPQ6NDM,1,1,1,5,8,1,F,SG
2.55857E+11,0033g00000DCbaSAAT,B09J4NW7CZ,1,1,1,0,7,0,F,SG
1.27522E+11,0031R00002AiZ5WQAV,B0927YKXKX,0,1,1,0,6,1,B,SG
1.45554E+11,0031R00002EjqWcQAJ,B08LP9Q1ZR,0,1,1,3,2,1,B,MY
3.92294E+11,0033g00000xeOmMAAU,B09MFP2VXD,0,1,0,0,7,0,E,MY
4.03059E+11,0033g00000zs3kdAAA,B09MHXZ18J,1,1,1,0,9,0,F,ID
33701273402,0033600001kXs8gAAC,B09LLRFZDD,0,1,0,5,7,0,C,MY
76170752702,0031R00001vfD7LQAU,B07NXFYWHD,0,1,1,5,1,1,B,SG
1.10758E+11,0031R000026N2h7QAC,B088LQWQQ7,0,0,1,5,9,1,B,SG
1.9092E+11,0033g00000CfENZAA3,B08JKPGBW8,0,0,1,5,8,1,B,SG
53165672202,0033600001jlwZGAAY,B09S3L3C91,0,1,1,0,1,1,C,SG
48964527002,0033g000015ntQzAAI,B09SD98391,0,1,1,1,2,1,C,ID
1.48782E+11,0031R00002F0R2pQAF,B0881TJK76,0,0,1,5,7,1,B,SG
2.77799E+11,0033g00000Fo8K3AAJ,B08QW3N24P,0,0,1,5,6,1,B,MY
16042764505,0033g000009h10EAAQ,B09L44CDZ6,0,0,1,5,6,1,B,SG
1.89201E+11,0033g000009P3wLAAS,B091LC67YY,0,0,1,5,8,1,B,SG
2.22975E+11,0033g000008o6nwAAA,B08HRHLR6Y,1,1,1,5,6,1,F,SG
39977842705,0031R000020CZ2wQAG,B09GRKNX3S,1,1,1,0,7,0,F,SG
1.60913E+11,0031R00002HBwMkQAL,B09QH4M5C2,0,1,0,4,6,1,B,MY
1742036661,0033g00000Jf3slAAB,B08S6LPKX3,0,0,1,0,7,0,E,SG
40203513105,0031R000021Asv0QAC,B096RHXXBX,0,0,1,5,9,1,B,SG
1.89201E+11,0033g000009P3wLAAS,B091M4R8NM,0,0,1,5,8,1,B,SG
4.04121E+11,0033g00000zsyVHAAY,B09R83JJJR,1,1,1,5,4,1,F,ID
83491456202,0031R00001y4TICQA2,B07QPH5BZH,0,0,0,0,9,0,D,MY
3.68886E+11,0033g00000slWGRAA2,B09K6LWQ6F,0,1,1,0,4,0,C,SG
3.86417E+11,0033g00000xGkryAAC,B09JMC227T,0,0,1,5,7,1,B,MY
2.21007E+11,0033g000008msfyAAA,B0994C7V1Q,0,1,1,0,9,1,B,SG
13700401105,0031R000027QFwUQAW,B09PRSFF8L,0,1,1,1,5,1,B,SG
4.28277E+11,0033g000014jDdsAAE,B09R719WLD,0,0,1,3,2,1,D,PH
2.38511E+11,0033g000009gKepAAE,B08HHHWQRX,0,0,1,5,7,1,F,SG
2.77799E+11,0033g00000Fo8K3AAJ,B08QVY46LB,0,0,1,5,6,1,B,MY
3.90769E+11,0033g00000xclvuAAA,B09SD797YH,0,1,1,2,2,1,B,ID
1.07261E+11,0031R000024wzDfQAI,B08SGT7DNQ,0,1,1,1,9,0,C,SG
27953743702,0033600001c6Ax1AAE,B086LLJM2M,0,0,1,0,2,1,D,PH
2.24606E+11,0033g00000971d0AAA,B08F2PR7JS,0,1,0,5,9,1,B,SG
4.325E+11,0033g000015Ob9VAAS,B09S4LZ598,0,1,0,5,2,1,B,ID
1742036661,0033g00000Jf3slAAB,B08S7H1DJ2,0,0,1,0,7,1,D,SG
18130634005,0033g00000E4WPaAAN,B08JQM121F,0,0,1,5,5,1,B,SG
2.63067E+11,0033g00000DjbsUAAR,B08MQ2X1SS,0,0,1,4,2,1,C,KH
77188992402,0031R00001w1kWBQAY,B08NCGNGCR,1,0,1,0,6,0,F,MY
40203513105,0031R000021Asv0QAC,B09CNLKPTV,0,0,1,5,9,1,B,SG
4.28277E+11,0033g000014jDdsAAE,B09R6XZ47H,0,0,1,3,2,1,D,PH
1.07983E+11,0031R000025ayPMQAY,B07WSQMXC6,1,1,1,5,5,1,F,SG
1.88215E+11,0033g000007GWAlAAO,B09M17S68K,0,1,0,0,7,1,C,PH
1.27532E+11,0033g00000VQKxnAAH,B08TWZPMPQ,0,1,1,5,8,0,B,SG
3.6612E+11,0033g00000sIOsZAAW,B09LCLX3L9,1,1,0,0,4,0,F,SG
56448237,0033g00000zUIDMAA4,B09V1274NR,0,1,0,9,8,1,B,SG
